id,time,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weathercode,weather_description
238,2025-04-24,10.3,21.2,334,14.5,1.0,13.6,-1.4,3,Overcast
238,2025-04-25,15.5,43.2,130,16.5,2.3,14.8,-0.6,3,Overcast
238,2025-04-26,22.3,55.1,204,11.0,5.8,7.9,1.8,51,Drizzle: Light intensity
242,2025-04-20,39.2,72.7,276,11.9,-5.1,6.7,-12.6,61,Rain: Slight intensity
242,2025-04-21,17.7,40.7,30,7.8,-4.1,3.6,-9.5,51,Drizzle: Light intensity
242,2025-04-22,35.7,66.2,199,3.8,0.3,-1.2,-5.3,63,Rain: Moderate intensity
242,2025-04-23,17.8,38.9,286,1.8,-2.4,-1.6,-6.2,51,Drizzle: Light intensity
242,2025-04-24,13.3,19.8,305,9.2,-3.4,7.2,-6.4,3,Overcast
242,2025-04-25,21.7,46.1,142,12.0,-2.1,8.3,-5.3,3,Overcast
242,2025-04-26,24.4,65.5,203,6.3,1.7,2.7,-2.2,53,Drizzle: Moderate intensity
245,2025-04-20,25.6,32.4,275,10.2,-4.8,5.1,-8.9,3,Overcast
245,2025-04-21,26.0,40.0,256,14.6,-1.7,9.6,-6.2,3,Overcast
245,2025-04-22,24.5,40.0,242,16.5,3.3,12.1,-1.1,3,Overcast
